Year,State,Sex,Number of Live births,Population,BirthRate
2009,Perak,Female,17819.0,496313.0,35.902746855311065
2009,W.P. Kuala Lumpur,Female,12612.0,496313.0,25.411383542240483
2009,W.P. Kuala Lumpur,Male,13252.0,496313.0,26.700892380413165
2009,Terengganu,Female,11643.0,496313.0,23.45898656694465
2009,Terengganu,Male,12152.0,496313.0,24.484549064803865
2009,Selangor,Female,49164.0,496313.0,99.05845706237798
2009,Selangor,Male,52446.0,496313.0,105.67121957313228
2009,Sarawak,Female,20794.0,496313.0,41.8969480952544
2009,Sarawak,Male,22407.0,496313.0,45.146913338961504
2009,Sabah,Female,25128.0,496313.0,50.62934075875506
2009,Sabah,Male,26925.0,496313.0,54.250039793436805
2009,Pulau Pinang,Female,10937.0,496313.0,22.036497129835404
2009,Pulau Pinang,Male,11621.0,496313.0,23.414659700632463
2009,Perlis,Female,2015.0,496313.0,4.059937982684314
2009,Perlis,Male,2197.0,496313.0,4.426642058539672
2009,Perak,Male,18836.0,496313.0,37.951856993469846
2009,Pahang,Female,12499.0,496313.0,25.183704638000616
2009,Pahang,Male,13411.0,496313.0,27.02125473239669
2009,Negeri Sembilan,Female,8315.0,496313.0,16.753540608446688
2009,Negeri Sembilan,Male,8844.0,496313.0,17.819400257498796
2009,Melaka,Female,6464.0,496313.0,13.024039265544122
2009,Melaka,Male,6829.0,496313.0,13.759462274814481
2009,Kelantan,Female,17297.0,496313.0,34.85099120917646
2009,Kelantan,Male,18277.0,496313.0,36.82555161762839
2009,Kedah,Female,17376.0,496313.0,35.01016495638841
2009,Kedah,Male,18387.0,496313.0,37.04718594918932
2009,Johor,Female,27386.0,496313.0,55.17888912843306
2009,Johor,Male,29631.0,496313.0,59.70224434983569
2009,Malaysia,Female,240253.0,496313.0,100.0
2009,Malaysia,Male,256060.0,496313.0,100.0
2009,W.P. Labuan,Male,845.0,496313.0,1.7025546378998737
2009,W.P. Labuan,Female,804.0,496313.0,1.619945477954436
2010,W.P. Putrajaya,Female,1144.0,491239.0,2.3288053269386184
2010,Malaysia,Female,237521.0,491239.0,100.0
2010,Pulau Pinang,Female,10208.0,491239.0,20.780109071144594
2010,Sabah,Male,28078.0,491239.0,57.15751395960012
2010,Sabah,Female,26056.0,491239.0,53.04139125761595
2010,Sarawak,Male,21435.0,491239.0,43.63456484521791
2010,Sarawak,Female,20039.0,491239.0,40.792770932275324
2010,Selangor,Male,50529.0,491239.0,102.8603185007705
2010,Pulau Pinang,Male,10964.0,491239.0,22.31907482915648
2010,Selangor,Female,47900.0,491239.0,97.50854472059426
2010,Terengganu,Female,11716.0,491239.0,23.84989791120005
2010,W.P. Kuala Lumpur,Male,12697.0,491239.0,25.846889192429753
2010,W.P. Kuala Lumpur,Female,11774.0,491239.0,23.96796671274064
2010,W.P. Labuan,Male,852.0,491239.0,1.7343899812514885
2010,W.P. Labuan,Female,779.0,491239.0,1.585786144829706
2010,Malaysia,Male,253718.0,491239.0,100.0
2010,Terengganu,Male,12546.0,491239.0,25.539503174625796
2010,Perlis,Female,1988.0,491239.0,4.046909956253473
2010,W.P. Putrajaya,Male,1286.0,491239.0,2.6178703238138668
2010,Perlis,Male,2126.0,491239.0,4.327832277160404
2010,Johor,Female,27075.0,491239.0,55.115737960544664
2010,Kedah,Male,18203.0,491239.0,37.055282662817895
2010,Kedah,Female,16925.0,491239.0,34.453697690940665
2010,Kelantan,Male,18586.0,491239.0,37.83494388678423
2010,Kelantan,Female,17423.0,491239.0,35.46746084899611
2010,Melaka,Male,6799.0,491239.0,13.840513477146562
2010,Johor,Male,28989.0,491239.0,59.01200841138428
2010,Negeri Sembilan,Male,8654.0,491239.0,17.6166794574535
2010,Negeri Sembilan,Female,8285.0,491239.0,16.865517599376272
2010,Pahang,Male,13426.0,491239.0,27.3308918876555
2010,Pahang,Female,12520.0,491239.0,25.486575780831732
2010,Perak,Male,18548.0,491239.0,37.75758846508522
2010,Perak,Female,17478.0,491239.0,35.57942264356047
2010,Melaka,Female,6211.0,491239.0,12.643540109803986
2011,Pulau Pinang,Female,10720.0,511594.0,20.954115959139475
2011,Sabah,Male,28473.0,511594.0,55.65546116647185
2011,Sabah,Female,26517.0,511594.0,51.832116873927376
2011,Sarawak,Male,22318.0,511594.0,43.624436564932346
2011,Sarawak,Female,21065.0,511594.0,41.1752287947083
2011,Selangor,Male,53540.0,511594.0,104.65329929592606
2011,Selangor,Female,50146.0,511594.0,98.01913235886269
2011,W.P. Kuala Lumpur,Male,13147.0,511594.0,25.69811217488868
2011,Terengganu,Female,11921.0,511594.0,23.301680629561723
2011,W.P. Kuala Lumpur,Female,12378.0,511594.0,24.194967102819813
2011,W.P. Labuan,Male,911.0,511594.0,1.7807089215276177
2011,W.P. Labuan,Female,823.0,511594.0,1.60869752186304
2011,Pulau Pinang,Male,11633.0,511594.0,22.738734230659468
2011,W.P. Putrajaya,Male,1508.0,511594.0,2.947649894252083
2011,Terengganu,Male,12855.0,511594.0,25.127347076001673
2011,Perlis,Female,1969.0,511594.0,3.8487550674949276
2011,Negeri Sembilan,Male,9202.0,511594.0,17.986919314925505
2011,Perak,Female,18063.0,511594.0,35.30729445615077
2011,Malaysia,Male,264427.0,511594.0,100.0
2011,Johor,Male,29962.0,511594.0,58.56597223579636
2011,Johor,Female,28205.0,511594.0,55.13160826749337
2011,Kedah,Male,18480.0,511594.0,36.12239392956133
2011,Kedah,Female,17457.0,511594.0,34.12276140846061
2011,Kelantan,Male,19412.0,511594.0,37.9441510260089
2011,Perlis,Male,2192.0,511594.0,4.284647591644937
2011,Kelantan,Female,18267.0,511594.0,35.7060481553732
2011,Melaka,Female,6686.0,511594.0,13.068957024515534
2011,W.P. Putrajaya,Female,1448.0,511594.0,2.8303693944807797
2011,Negeri Sembilan,Female,8468.0,511594.0,16.552187867723234
2011,Pahang,Male,14045.0,511594.0,27.453410321465853
2011,Pahang,Female,13034.0,511594.0,25.477233900319394
2011,Perak,Male,19459.0,511594.0,38.036020750829756
2011,Melaka,Male,7290.0,511594.0,14.249580722213318
2011,Malaysia,Female,247167.0,511594.0,100.0
2012,Malaysia,Male,272193.0,526012.0,100.0
2012,W.P. Putrajaya,Female,1550.0,526012.0,2.9467008357223787
2012,W.P. Putrajaya,Male,1600.0,526012.0,3.0417557013908425
2012,W.P. Labuan,Female,839.0,526012.0,1.5950206459168232
2012,W.P. Labuan,Male,934.0,526012.0,1.7756248906869043
2012,W.P. Kuala Lumpur,Female,12970.0,526012.0,24.65723215439952
2012,W.P. Kuala Lumpur,Male,14012.0,526012.0,26.638175554930307
2012,Terengganu,Female,12468.0,526012.0,23.702881303088144
2012,Terengganu,Male,13230.0,526012.0,25.15151745587553
2012,Selangor,Female,51868.0,526012.0,98.60611544983765
2012,Sarawak,Female,20661.0,526012.0,39.27857159152263
2012,Sarawak,Male,22517.0,526012.0,42.80700820513601
2012,Sabah,Female,,526012.0,
2012,Sabah,Male,,526012.0,
2012,Pulau Pinang,Female,11656.0,526012.0,22.159190284632288
2012,Pulau Pinang,Male,12138.0,526012.0,23.07551918967628
2012,Perlis,Female,2013.0,526012.0,3.826908891812354
2012,Selangor,Male,56078.0,526012.0,106.60973513912231
2012,Perak,Female,18310.0,526012.0,34.80909180779146
2012,Perlis,Male,2130.0,526012.0,4.0493372774765595
2012,Johor,Male,31214.0,526012.0,59.340851539508606
2012,Johor,Female,29230.0,526012.0,55.569074469783956
2012,Kedah,Male,18937.0,526012.0,36.001079823274
2012,Kedah,Female,17453.0,526012.0,33.17985141023399
2012,Kelantan,Male,19328.0,526012.0,36.74440887280138
2012,Kelantan,Female,17697.0,526012.0,33.64371915469609
2012,Malaysia,Female,253819.0,526012.0,100.0
2012,Melaka,Female,7045.0,526012.0,13.393230572686555
2012,Negeri Sembilan,Male,9219.0,526012.0,17.526216131951365
2012,Negeri Sembilan,Female,8684.0,526012.0,16.5091290692988
2012,Pahang,Male,13955.0,526012.0,26.529813008068256
2012,Pahang,Female,13456.0,526012.0,25.58116544869699
2012,Perak,Male,19402.0,526012.0,36.8850900739907
2012,Melaka,Male,7233.0,526012.0,13.750636867599978
2013,Perlis,Male,2108.0,503914.0,4.183253491667229
2013,Perlis,Female,1942.0,503914.0,3.8538322015264512
2013,Pulau Pinang,Male,11020.0,503914.0,21.868810947899842
2013,Pulau Pinang,Female,10479.0,503914.0,20.795215056537426
2013,Sabah,Male,,503914.0,
2013,Sabah,Female,,503914.0,
2013,Sarawak,Male,21027.0,503914.0,41.72735823969963
2013,Terengganu,Male,13026.0,503914.0,25.849648948034783
2013,Selangor,Male,53282.0,503914.0,105.7362962727767
2013,Selangor,Female,49891.0,503914.0,99.00697341212984
2013,Terengganu,Female,12439.0,503914.0,24.684767638922516
2013,W.P. Kuala Lumpur,Male,13044.0,503914.0,25.88536932889342
2013,W.P. Kuala Lumpur,Female,12289.0,503914.0,24.38709779843386
2013,W.P. Labuan,Male,944.0,503914.0,1.8733355294752676
2013,Sarawak,Female,19386.0,503914.0,38.47085018475375
2013,Perak,Female,17133.0,503914.0,33.999849180614156
2013,W.P. Putrajaya,Male,1518.0,503914.0,3.0124187857451865
2013,Pahang,Female,12972.0,503914.0,25.742487805458868
2013,W.P. Labuan,Female,799.0,503914.0,1.5855880170029013
2013,Malaysia,Male,260725.0,503914.0,100.0
2013,Malaysia,Female,243189.0,503914.0,100.0
2013,Johor,Male,29672.0,503914.0,58.88306337986244
2013,Johor,Female,27730.0,503914.0,55.02923117833598
2013,Kedah,Male,18049.0,503914.0,35.81761967319821
2013,Perak,Male,18294.0,503914.0,36.30381374599634
2013,Kedah,Female,16983.0,503914.0,33.7021793401255
2013,Kelantan,Female,17560.0,503914.0,34.84721599320519
2013,Melaka,Male,7102.0,503914.0,14.093674714336176
2013,Melaka,Female,6590.0,503914.0,13.077628325468234
2013,Negeri Sembilan,Male,9126.0,503914.0,18.110233095329757
2013,Negeri Sembilan,Female,8383.0,503914.0,16.63577515210929
2013,Pahang,Male,13996.0,503914.0,27.77458058319475
2013,Kelantan,Male,18853.0,503914.0,37.413130018217394
2013,W.P. Putrajaya,Female,1454.0,503914.0,2.885412987136694
2014,Perak,Female,17753.0,528612.0,33.58417894410267
2014,W.P. Labuan,Female,912.0,528612.0,1.7252729790470138
2014,W.P. Putrajaya,Female,1490.0,528612.0,2.8187025644518098
2014,W.P. Kuala Lumpur,Female,13213.0,528612.0,24.995648982618633
2014,W.P. Kuala Lumpur,Male,13887.0,528612.0,26.270686250028376
2014,Terengganu,Female,12957.0,528612.0,24.511361830605434
2014,Terengganu,Male,14056.0,528612.0,26.590391440224586
2014,Selangor,Female,52909.0,528612.0,100.09042549166497
2014,Selangor,Male,56023.0,528612.0,105.9813246767005
2014,Sarawak,Female,19806.0,528612.0,37.467934893645996
2014,Sarawak,Male,21243.0,528612.0,40.18637488365758
2014,Sabah,Female,27677.0,528612.0,52.35787307136425
