,Sex,AgeGroup,Year,State,DeathCount
0,Male,Below 1,2001,Johor,263.0
1,Male,Below 1,2001,Kedah,173.0
2,Male,Below 1,2001,Kelantan,198.0
3,Male,Below 1,2001,Melaka,59.0
4,Male,Below 1,2001,Negeri Sembilan,69.0
5,Male,Below 1,2001,Pulau Pinang,97.0
6,Male,Below 1,2001,Pahang,126.0
7,Male,Below 1,2001,Perak,159.0
8,Male,Below 1,2001,Perlis,22.0
9,Male,Below 1,2001,Sabah,0.0
10,Male,Below 1,2001,Sarawak,131.0
11,Male,Below 1,2001,Selangor,254.0
12,Male,Below 1,2001,Terengganu,126.0
13,Male,Below 1,2001,W.P. Kuala Lumpur,96.0
14,Male,Below 1,2001,W.P. Labuan,2.0
15,Male,1-4,2001,Johor,77.0
16,Male,1-4,2001,Kedah,62.0
17,Male,1-4,2001,Kelantan,71.0
18,Male,1-4,2001,Melaka,18.0
19,Male,1-4,2001,Negeri Sembilan,25.0
20,Male,1-4,2001,Pulau Pinang,13.0
21,Male,1-4,2001,Pahang,51.0
22,Male,1-4,2001,Perak,56.0
23,Male,1-4,2001,Perlis,4.0
24,Male,1-4,2001,Sabah,0.0
25,Male,1-4,2001,Sarawak,54.0
26,Male,1-4,2001,Selangor,64.0
27,Male,1-4,2001,Terengganu,30.0
28,Male,1-4,2001,W.P. Kuala Lumpur,22.0
29,Male,1-4,2001,W.P. Labuan,2.0
30,Male,5-9,2001,Johor,56.0
31,Male,5-9,2001,Kedah,44.0
32,Male,5-9,2001,Kelantan,54.0
33,Male,5-9,2001,Melaka,18.0
34,Male,5-9,2001,Negeri Sembilan,11.0
35,Male,5-9,2001,Pulau Pinang,15.0
36,Male,5-9,2001,Pahang,30.0
37,Male,5-9,2001,Perak,47.0
38,Male,5-9,2001,Perlis,8.0
39,Male,5-9,2001,Sabah,0.0
40,Male,5-9,2001,Sarawak,49.0
41,Male,5-9,2001,Selangor,67.0
42,Male,5-9,2001,Terengganu,44.0
43,Male,5-9,2001,W.P. Kuala Lumpur,19.0
44,Male,5-9,2001,W.P. Labuan,1.0
45,Male,10-14,2001,Johor,64.0
46,Male,10-14,2001,Kedah,61.0
47,Male,10-14,2001,Kelantan,55.0
48,Male,10-14,2001,Melaka,8.0
49,Male,10-14,2001,Negeri Sembilan,25.0
50,Male,10-14,2001,Pulau Pinang,22.0
51,Male,10-14,2001,Pahang,46.0
52,Male,10-14,2001,Perak,40.0
53,Male,10-14,2001,Perlis,4.0
54,Male,10-14,2001,Sabah,0.0
55,Male,10-14,2001,Sarawak,36.0
56,Male,10-14,2001,Selangor,65.0
57,Male,10-14,2001,Terengganu,34.0
58,Male,10-14,2001,W.P. Kuala Lumpur,15.0
59,Male,10-14,2001,W.P. Labuan,2.0
60,Male,15-19,2001,Johor,192.0
61,Male,15-19,2001,Kedah,113.0
62,Male,15-19,2001,Kelantan,125.0
63,Male,15-19,2001,Melaka,58.0
64,Male,15-19,2001,Negeri Sembilan,68.0
65,Male,15-19,2001,Pulau Pinang,79.0
66,Male,15-19,2001,Pahang,105.0
67,Male,15-19,2001,Perak,159.0
68,Male,15-19,2001,Perlis,16.0
69,Male,15-19,2001,Sabah,0.0
70,Male,15-19,2001,Sarawak,87.0
71,Male,15-19,2001,Selangor,234.0
72,Male,15-19,2001,Terengganu,97.0
73,Male,15-19,2001,W.P. Kuala Lumpur,43.0
74,Male,15-19,2001,W.P. Labuan,3.0
75,Male,20-24,2001,Johor,242.0
76,Male,20-24,2001,Kedah,139.0
77,Male,20-24,2001,Kelantan,132.0
78,Male,20-24,2001,Melaka,65.0
79,Male,20-24,2001,Negeri Sembilan,84.0
80,Male,20-24,2001,Pulau Pinang,77.0
81,Male,20-24,2001,Pahang,143.0
82,Male,20-24,2001,Perak,190.0
83,Male,20-24,2001,Perlis,23.0
84,Male,20-24,2001,Sabah,0.0
85,Male,20-24,2001,Sarawak,120.0
86,Male,20-24,2001,Selangor,213.0
87,Male,20-24,2001,Terengganu,113.0
88,Male,20-24,2001,W.P. Kuala Lumpur,82.0
89,Male,20-24,2001,W.P. Labuan,9.0
90,Male,25-29,2001,Johor,232.0
91,Male,25-29,2001,Kedah,111.0
92,Male,25-29,2001,Kelantan,137.0
93,Male,25-29,2001,Melaka,47.0
