State,Gender,Year,Values
Malaysia,Total,2012,74.4
Johor,Total,2012,74.1
Kedah,Total,2012,73.0
Kelantan,Total,2012,71.9
Melaka,Total,2012,74.1
Negeri Sembilan,Total,2012,73.4
Pahang,Total,2012,72.8
Perak,Total,2012,73.7
Perlis,Total,2012,72.8
Pulau Pinang,Total,2012,74.7
Sabah,Total,2012,73.3
Sarawak,Total,2012,75.9
Selangor,Total,2012,75.0
Terengganu,Total,2012,71.2
W.P. Kuala Lumpur,Total,2012,75.9
Malaysia,Male,2012,72.2
Johor,Male,2012,72.0
Kedah,Male,2012,70.2
Kelantan,Male,2012,68.9
Melaka,Male,2012,71.6
Negeri Sembilan,Male,2012,70.9
Pahang,Male,2012,70.3
Perak,Male,2012,71.0
Perlis,Male,2012,70.2
Pulau Pinang,Male,2012,72.2
Sabah,Male,2012,71.7
Sarawak,Male,2012,74.3
Selangor,Male,2012,73.1
Terengganu,Male,2012,68.5
W.P. Kuala Lumpur,Male,2012,74.1
Malaysia,Female,2012,76.9
Johor,Female,2012,76.7
Kedah,Female,2012,76.1
Kelantan,Female,2012,75.0
Melaka,Female,2012,76.9
Negeri Sembilan,Female,2012,76.4
Pahang,Female,2012,75.9
Perak,Female,2012,76.8
Perlis,Female,2012,75.7
Pulau Pinang,Female,2012,77.4
Sabah,Female,2012,75.2
Sarawak,Female,2012,77.8
Selangor,Female,2012,77.2
Terengganu,Female,2012,74.3
W.P. Kuala Lumpur,Female,2012,78.1
Malaysia,Total,2013,74.5
Johor,Total,2013,74.2
Kedah,Total,2013,73.0
Kelantan,Total,2013,71.9
Melaka,Total,2013,74.4
Negeri Sembilan,Total,2013,73.5
Pahang,Total,2013,73.0
Perak,Total,2013,73.8
Perlis,Total,2013,72.9
Pulau Pinang,Total,2013,74.7
Sabah,Total,2013,73.5
Sarawak,Total,2013,76.1
Selangor,Total,2013,75.1
Terengganu,Total,2013,71.3
W.P. Kuala Lumpur,Total,2013,76.0
Malaysia,Male,2013,72.3
Johor,Male,2013,72.0
Kedah,Male,2013,70.3
Kelantan,Male,2013,69.0
Melaka,Male,2013,71.9
Negeri Sembilan,Male,2013,70.9
Pahang,Male,2013,70.4
Perak,Male,2013,71.1
Perlis,Male,2013,70.3
Pulau Pinang,Male,2013,72.3
Sabah,Male,2013,72.0
Sarawak,Male,2013,74.4
Selangor,Male,2013,73.2
Terengganu,Male,2013,68.6
W.P. Kuala Lumpur,Male,2013,74.2
Malaysia,Female,2013,76.9
Johor,Female,2013,76.8
Kedah,Female,2013,76.1
Kelantan,Female,2013,75.1
Melaka,Female,2013,77.2
Negeri Sembilan,Female,2013,76.4
Pahang,Female,2013,76.2
Perak,Female,2013,76.9
Perlis,Female,2013,75.8
Pulau Pinang,Female,2013,77.5
