Year,TotalPopulation
1980,13215707
1981,13564594
1982,13921029
1983,14292862
1984,14686454
1985,15108135
1986,15558740
1987,16033103
1988,16524616
1989,17020143
1990,17517054
1991,18017464
1992,18526708
1993,19050077
1994,19588703
1995,20136888
1996,20689051
1997,21249178
1998,21810542
1999,22368655
2000,22945150
2001,23542517
2002,24142445
2003,24739411
2004,25333247
2005,25923536
2006,26509413
2007,27092604
2008,27664296
2009,28217204
2010,28717731
2011,29184133
2012,29660212
2013,30134807
2014,30606459
2015,31068833
2016,31526418
2017,31975806
2018,32399271
2019,32804020
2020,33199993
